id	P1	P2	P3	P4	P5
ENSG00000	0.35738042	-1.2083186	-0.004454133	0.65647495	-1.2883614
ENSG00001	0.39512205	0.4298637	0.6960427	-1.1841179	-0.6617026
ENSG00002	-0.43643525	-1.169802	1.7393678	-0.49591073	0.32896963
ENSG00003	-0.25857255	1.5834728	1.320361	0.63335264	-2.2035098
ENSG00004	0.052028973	0.6836862	1.0039616	-0.61790705	1.8220114
ENSG00005	-1.320431	-0.66152805	0.93505	0.049054615	2.0023925
ENSG00006	0.1885192	-0.6331941	-0.3775635	-1.0911461	-1.2776802
ENSG00007	0.6304115	0.5811658	1.2945588	-0.75460577	1.6891074
ENSG00008	-0.2873877	1.5744083	-0.43278584	-0.7354833	0.24978538
ENSG00009	1.0314531	0.16100958	-0.58552885	-1.3412197	-1.4015203
