HGNC ID	Approved symbol	Status	Previous symbols	Alias symbols
HGNC:5	A1BG	Approved		
HGNC:37133	A1BG-AS1	Approved	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569
HGNC:24086	A1CF	Approved		ACF, ASP, ACF64, ACF65, APOBEC1CF
HGNC:6	A1S9T	Symbol Withdrawn		
HGNC:7	A2M	Approved		FWP007, S863-7, CPAMD5
HGNC:27057	A2M-AS1	Approved		
HGNC:23336	A2ML1	Approved	CPAMD9	FLJ25179, p170
HGNC:41022	A2ML1-AS1	Approved		
HGNC:41523	A2ML1-AS2	Approved		
HGNC:8	A2MP1	Symbol Withdrawn	A2MP	
HGNC:9	A2MR	Symbol Withdrawn		
HGNC:10	A2MRAP	Symbol Withdrawn		
HGNC:30005	A3GALT2	Approved	A3GALT2P	IGBS3S, IGB3S
HGNC:18149	A4GALT	Approved	P1	A14GALT, Gb3S, P(k)
HGNC:17968	A4GNT	Approved		alpha4GnT
HGNC:1	A12M1	Entry Withdrawn		
HGNC:2	A12M2	Entry Withdrawn		
HGNC:3	A12M3	Entry Withdrawn		
HGNC:4	A12M4	Entry Withdrawn		
HGNC:11	AA	Symbol Withdrawn	AA	
HGNC:13666	AAAS	Approved		
HGNC:12	AABT	Entry Withdrawn		
HGNC:13	AAC1	Symbol Withdrawn		
HGNC:14	AAC2	Symbol Withdrawn		
HGNC:21298	AACS	Approved		FLJ12389, SUR-5, ACSF1
HGNC:18226	AACSP1	Approved	AACSL	
HGNC:13792	AACT	Symbol Withdrawn		
HGNC:17	AADAC	Approved		DAC, CES5A1
HGNC:24427	AADACL2	Approved		MGC72001
HGNC:50301	AADACL2-AS1	Approved		
HGNC:32037	AADACL3	Approved		OTTHUMG00000001887
HGNC:32038	AADACL4	Approved		OTTHUMG00000001889
HGNC:50305	AADACP1	Approved		
HGNC:17929	AADAT	Approved		KATII, KAT2, KYAT2
HGNC:25662	AAGAB	Approved		FLJ11506, p34
HGNC:19679	AAK1	Approved		KIAA1048, DKFZp686K16132
HGNC:30205	AAMDC	Approved	C11orf67	PTD015, FLJ21035, CK067
HGNC:18	AAMP	Approved		
HGNC:19	AANAT	Approved		SNAT
HGNC:15886	AAR2	Approved	C20orf4	bA234K24.2
HGNC:33842	AARD	Approved	C8orf85	LOC441376
