mirna_id,gene_id,weight
hsa-let-7b,ENSG00000148584,1.0
hsa-let-7c,ENSG00000148584,1.0
hsa-let-7d,ENSG00000148584,1.0
hsa-let-7e,ENSG00000148584,1.0
hsa-let-7g,ENSG00000148584,1.0
hsa-let-7i,ENSG00000148584,1.0
hsa-let-7b,ENSG00000154265,1.0
hsa-let-7c,ENSG00000154265,1.0
hsa-let-7d,ENSG00000154265,1.0
hsa-let-7e,ENSG00000154265,1.0
hsa-let-7g,ENSG00000154265,1.0
hsa-let-7i,ENSG00000154265,1.0
hsa-let-7b,ENSG00000124574,1.0
hsa-let-7c,ENSG00000124574,1.0
hsa-let-7d,ENSG00000124574,1.0
hsa-let-7e,ENSG00000124574,1.0
hsa-let-7g,ENSG00000124574,1.0
hsa-let-7i,ENSG00000124574,1.0
hsa-let-7b,ENSG00000023839,1.0
hsa-let-7c,ENSG00000023839,1.0
hsa-let-7d,ENSG00000023839,1.0
hsa-let-7e,ENSG00000023839,1.0
hsa-let-7g,ENSG00000023839,1.0
hsa-let-7i,ENSG00000023839,1.0
hsa-let-7b,ENSG00000114770,1.0
hsa-let-7c,ENSG00000114770,1.0
hsa-let-7d,ENSG00000114770,1.0
hsa-let-7e,ENSG00000114770,1.0
hsa-let-7g,ENSG00000114770,1.0
hsa-let-7i,ENSG00000114770,1.0
hsa-let-7b,ENSG00000172350,1.0
hsa-let-7c,ENSG00000172350,1.0
hsa-let-7d,ENSG00000172350,1.0
hsa-let-7e,ENSG00000172350,1.0
hsa-let-7g,ENSG00000172350,1.0
hsa-let-7i,ENSG00000172350,1.0
hsa-let-7b,ENSG00000143322,1.0
hsa-let-7c,ENSG00000143322,1.0
hsa-let-7d,ENSG00000143322,1.0
hsa-let-7e,ENSG00000143322,1.0
hsa-let-7g,ENSG00000143322,1.0
hsa-let-7i,ENSG00000143322,1.0
hsa-let-7b,ENSG00000146109;ENSG00000292169,1.0
hsa-let-7c,ENSG00000146109;ENSG00000292169,1.0
hsa-let-7d,ENSG00000146109;ENSG00000292169,1.0
hsa-let-7e,ENSG00000146109;ENSG00000292169,1.0
hsa-let-7g,ENSG00000146109;ENSG00000292169,1.0
hsa-let-7i,ENSG00000146109;ENSG00000292169,1.0
hsa-let-7b,ENSG00000177076,1.0
hsa-let-7c,ENSG00000177076,1.0
hsa-let-7d,ENSG00000177076,1.0
hsa-let-7e,ENSG00000177076,1.0
hsa-let-7g,ENSG00000177076,1.0
hsa-let-7i,ENSG00000177076,1.0
hsa-let-7b,ENSG00000164398,1.0
hsa-let-7c,ENSG00000164398,1.0
hsa-let-7d,ENSG00000164398,1.0
hsa-let-7e,ENSG00000164398,1.0
hsa-let-7g,ENSG00000164398,1.0
hsa-let-7i,ENSG00000164398,1.0
hsa-let-7b,ENSG00000138071,1.0
hsa-let-7c,ENSG00000138071,1.0
hsa-let-7d,ENSG00000138071,1.0
hsa-let-7e,ENSG00000138071,1.0
hsa-let-7g,ENSG00000138071,1.0
hsa-let-7i,ENSG00000138071,1.0
hsa-let-7b,ENSG00000123612,1.0
hsa-let-7c,ENSG00000123612,1.0
hsa-let-7d,ENSG00000123612,1.0
hsa-let-7e,ENSG00000123612,1.0
hsa-let-7g,ENSG00000123612,1.0
hsa-let-7i,ENSG00000123612,1.0
hsa-let-7b,ENSG00000121989,1.0
hsa-let-7c,ENSG00000121989,1.0
hsa-let-7d,ENSG00000121989,1.0
hsa-let-7e,ENSG00000121989,1.0
hsa-let-7g,ENSG00000121989,1.0
hsa-let-7i,ENSG00000121989,1.0
hsa-let-7b,ENSG00000114739,1.0
hsa-let-7c,ENSG00000114739,1.0
hsa-let-7d,ENSG00000114739,1.0
hsa-let-7e,ENSG00000114739,1.0
hsa-let-7g,ENSG00000114739,1.0
hsa-let-7i,ENSG00000114739,1.0
hsa-let-7b,ENSG00000139567,1.0
hsa-let-7c,ENSG00000139567,1.0
hsa-let-7d,ENSG00000139567,1.0
hsa-let-7e,ENSG00000139567,1.0
hsa-let-7g,ENSG00000139567,1.0
hsa-let-7i,ENSG00000139567,1.0
hsa-let-7b,ENSG00000154734,1.0
hsa-let-7c,ENSG00000154734,1.0
hsa-let-7d,ENSG00000154734,1.0
hsa-let-7e,ENSG00000154734,1.0
hsa-let-7g,ENSG00000154734,1.0
hsa-let-7i,ENSG00000154734,1.0
hsa-let-7b,ENSG00000138316,1.0
hsa-let-7c,ENSG00000138316,1.0
hsa-let-7d,ENSG00000138316,1.0
hsa-let-7e,ENSG00000138316,1.0
hsa-let-7g,ENSG00000138316,1.0
hsa-let-7i,ENSG00000138316,1.0
hsa-let-7b,ENSG00000006831;ENSG00000285070,1.0
hsa-let-7c,ENSG00000006831;ENSG00000285070,1.0
hsa-let-7d,ENSG00000006831;ENSG00000285070,1.0
hsa-let-7e,ENSG00000006831;ENSG00000285070,1.0
hsa-let-7g,ENSG00000006831;ENSG00000285070,1.0
hsa-let-7i,ENSG00000006831;ENSG00000285070,1.0
hsa-let-7b,ENSG00000144843,1.0
hsa-let-7c,ENSG00000144843,1.0
hsa-let-7d,ENSG00000144843,1.0
hsa-let-7e,ENSG00000144843,1.0
hsa-let-7g,ENSG00000144843,1.0
hsa-let-7i,ENSG00000144843,1.0
hsa-let-7b,ENSG00000181026,1.0
hsa-let-7c,ENSG00000181026,1.0
hsa-let-7d,ENSG00000181026,1.0
hsa-let-7e,ENSG00000181026,1.0
hsa-let-7g,ENSG00000181026,1.0
