input_symbol,resolved_symbol,ensembl_gene_id,source,note
A1CF,A1CF,ENSG00000148584,direct,
AAK1,AAK1,ENSG00000115977,direct,
AASS,AASS,ENSG00000008311,direct,
ABCA5,ABCA5,ENSG00000154265,direct,
ABCC10,ABCC10,ENSG00000124574,direct,
ABCC2,ABCC2,ENSG00000023839,direct,
ABCC5,ABCC5,ENSG00000114770,direct,
ABCG4,ABCG4,ENSG00000172350,direct,
ABHD2,ABHD2,ENSG00000140526,direct,
ABL2,ABL2,ENSG00000143322,direct,
ABT1,ABT1,ENSG00000146109;ENSG00000292169,direct,
ACER2,ACER2,ENSG00000177076,direct,
ACP1,ACP1,ENSG00000143727,direct,
ACSL6,ACSL6,ENSG00000164398,direct,
ACTA1,ACTA1,ENSG00000143632,direct,
ACTR2,ACTR2,ENSG00000138071,direct,
ACVR1C,ACVR1C,ENSG00000123612,direct,
ACVR2A,ACVR2A,ENSG00000121989,direct,
ACVR2B,ACVR2B,ENSG00000114739,direct,
ACVRL1,ACVRL1,ENSG00000139567,direct,
ADAMTS1,ADAMTS1,ENSG00000154734,direct,
ADAMTS14,ADAMTS14,ENSG00000138316,direct,
ADIPOR2,ADIPOR2,ENSG00000006831;ENSG00000285070,direct,
ADPRH,ADPRH,ENSG00000144843,direct,
AEN,AEN,ENSG00000181026,direct,
AFF4,AFF4,ENSG00000072364,direct,
AGBL2,AGBL2,ENSG00000165923;ENSG00000285501,direct,
AHCTF1,AHCTF1,ENSG00000153207,direct,
AHCYL2,AHCYL2,ENSG00000158467,direct,
AHR,AHR,ENSG00000106546,direct,
AK3,AK3,ENSG00000147853,direct,
AKAP5,AKAP5,ENSG00000179841,direct,
ALG2,ALG2,ENSG00000119523,direct,
ALKBH1,ALKBH1,ENSG00000100601,direct,
ALPK3,ALPK3,ENSG00000136383,direct,
ANAPC13,ANAPC13,ENSG00000129055,direct,
ANKFY1,ANKFY1,ENSG00000185722,direct,
ANKRD12,ANKRD12,ENSG00000101745,direct,
ANKRD28,ANKRD28,ENSG00000206560,direct,
ANKRD39,ANKRD39,ENSG00000213337,direct,
ANKRD46,ANKRD46,ENSG00000186106,direct,
ANKRD49,ANKRD49,ENSG00000168876,direct,
ANKRD52,ANKRD52,ENSG00000139645,direct,
ANP32E,ANP32E,ENSG00000143401,direct,
AP1S1,AP1S1,ENSG00000106367,direct,
AP3M1,AP3M1,ENSG00000185009,direct,
AP3M2,AP3M2,ENSG00000070718,direct,
