input_symbol,resolved_symbol,ensembl_gene_id,source,note
DORIP1,DORIP1,ENSG00000179476,direct,
DRIP-1,,,direct,NOT_FOUND
DRIP1,,,direct,NOT_FOUND
HsT3108,,,direct,NOT_FOUND
PNAS-124,,,direct,NOT_FOUND
PNAS-131,,,direct,NOT_FOUND
RMP24,RMP24,ENSG00000141428,direct,
RMP24P1,RMP24P1,ENSG00000251647,direct,
ACTMAP,ACTMAP,ENSG00000188493,direct,
FLJ41131,,,direct,NOT_FOUND
AKAP19,AKAP19,ENSG00000187699,direct,
MGC13057,,,direct,NOT_FOUND
smAKAP,,,direct,NOT_FOUND
LOC285636,,,direct,NOT_FOUND
RIMOC1,RIMOC1,ENSG00000205765,direct,
CFAP263,CFAP263,ENSG00000103021,direct,
DKFZp434N1418,,,direct,NOT_FOUND
HSPC065,,,direct,NOT_FOUND
CFAP200,,,direct,NOT_FOUND
DRC8,DRC8,ENSG00000203666,direct,
MGC12458,,,direct,NOT_FOUND
FLJ14775,,,direct,NOT_FOUND
VCF1,VCF1,ENSG00000133193,direct,
ENTREP2,ENTREP2,ENSG00000104059;ENSG00000273564,direct,
KIAA0574,,,direct,NOT_FOUND
TMEM228,,,direct,NOT_FOUND
MATCAP2,MATCAP2,ENSG00000164542,direct,
TMCP2,,,direct,NOT_FOUND
LOC653319,,,direct,NOT_FOUND
MATCAP1,MATCAP1,ENSG00000196123,direct,
TMCP1,,,direct,NOT_FOUND
CI-9k,,,direct,NOT_FOUND
COXFA4,COXFA4,ENSG00000189043,direct,
MISTR1,,,direct,NOT_FOUND
MLRQ,,,direct,NOT_FOUND
MRCAF1,,,direct,NOT_FOUND
AFG2,,,direct,NOT_FOUND
AFG2A,AFG2A,ENSG00000145375,direct,
SPAF,,,direct,NOT_FOUND
FLJ00021,,,direct,NOT_FOUND
FLJ20255,,,direct,NOT_FOUND
SLC38A12,SLC38A12,ENSG00000109066,direct,
BLTP3A,BLTP3A,ENSG00000065060,direct,
FLJ20302,,,direct,NOT_FOUND
dJ349A12.1,,,direct,NOT_FOUND
DRIP-1,,,hgnc,"STILL_NOT_FOUND; tried=DORIP1,DRIP-1,DRIP1"
DRIP1,,,hgnc,"STILL_NOT_FOUND; tried=DORIP1,DRIP-1,DRIP1"
HsT3108,,,hgnc,"STILL_NOT_FOUND; tried=HsT3108,PNAS-124,PNAS-131,RMP24"
PNAS-124,,,hgnc,"STILL_NOT_FOUND; tried=HsT3108,PNAS-124,PNAS-131,RMP24"
PNAS-131,,,hgnc,"STILL_NOT_FOUND; tried=HsT3108,PNAS-124,PNAS-131,RMP24"
FLJ41131,,,hgnc,"STILL_NOT_FOUND; tried=ACTMAP,FLJ41131"
MGC13057,,,hgnc,"STILL_NOT_FOUND; tried=AKAP19,MGC13057,smAKAP"
smAKAP,,,hgnc,"STILL_NOT_FOUND; tried=AKAP19,MGC13057,smAKAP"
LOC285636,,,hgnc,"STILL_NOT_FOUND; tried=LOC285636,RIMOC1"
DKFZp434N1418,,,hgnc,"STILL_NOT_FOUND; tried=CFAP263,DKFZp434N1418,HSPC065"
HSPC065,,,hgnc,"STILL_NOT_FOUND; tried=CFAP263,DKFZp434N1418,HSPC065"
CFAP200,,,hgnc,"STILL_NOT_FOUND; tried=CFAP200,DRC8,MGC12458"
MGC12458,,,hgnc,"STILL_NOT_FOUND; tried=CFAP200,DRC8,MGC12458"
FLJ14775,,,hgnc,"STILL_NOT_FOUND; tried=FLJ14775,VCF1"
KIAA0574,,,hgnc,"STILL_NOT_FOUND; tried=ENTREP2,KIAA0574,TMEM228"
TMEM228,,,hgnc,"STILL_NOT_FOUND; tried=ENTREP2,KIAA0574,TMEM228"
TMCP2,,,hgnc,"STILL_NOT_FOUND; tried=MATCAP2,TMCP2"
LOC653319,,,hgnc,"STILL_NOT_FOUND; tried=LOC653319,MATCAP1,TMCP1"
TMCP1,,,hgnc,"STILL_NOT_FOUND; tried=LOC653319,MATCAP1,TMCP1"
CI-9k,,,hgnc,"STILL_NOT_FOUND; tried=CI-9k,COXFA4,MISTR1,MLRQ,MRCAF1"
MISTR1,,,hgnc,"STILL_NOT_FOUND; tried=CI-9k,COXFA4,MISTR1,MLRQ,MRCAF1"
MLRQ,,,hgnc,"STILL_NOT_FOUND; tried=CI-9k,COXFA4,MISTR1,MLRQ,MRCAF1"
MRCAF1,,,hgnc,"STILL_NOT_FOUND; tried=CI-9k,COXFA4,MISTR1,MLRQ,MRCAF1"
AFG2,,,hgnc,"STILL_NOT_FOUND; tried=AFG2,AFG2A,SPAF"
SPAF,,,hgnc,"STILL_NOT_FOUND; tried=AFG2,AFG2A,SPAF"
FLJ00021,,,hgnc,"STILL_NOT_FOUND; tried=FLJ00021,FLJ20255,SLC38A12"
FLJ20255,,,hgnc,"STILL_NOT_FOUND; tried=FLJ00021,FLJ20255,SLC38A12"
FLJ20302,,,hgnc,"STILL_NOT_FOUND; tried=BLTP3A,FLJ20302,dJ349A12.1"
dJ349A12.1,,,hgnc,"STILL_NOT_FOUND; tried=BLTP3A,FLJ20302,dJ349A12.1"
